42	6.3771E-6	6.81519E-6	7.03423E-6	7.05558E-6	7.19605E-6	7.66745E-6	7.72074E-6	8.06747E-6	8.50106E-6	8.74666E-6	8.96814E-6	8.8E-6	8.87808E-6	8.86762E-6	8.49203E-6
41.5	6.27368E-6	6.63152E-6	6.83275E-6	6.92902E-6	7.03263E-6	7.5712E-6	7.58133E-6	7.88665E-6	8.35169E-6	8.5788E-6	8.8253E-6	8.68524E-6	8.73926E-6	8.71693E-6	8.38463E-6
41	6.0783E-6	6.46836E-6	6.68505E-6	6.71274E-6	6.87613E-6	7.33378E-6	7.43373E-6	7.71938E-6	8.21071E-6	8.39641E-6	8.7229E-6	8.40939E-6	8.58001E-6	8.57697E-6	8.24596E-6
40.5	5.94565E-6	6.30403E-6	6.53782E-6	6.58443E-6	6.72063E-6	7.17948E-6	7.25743E-6	7.54196E-6	8.02522E-6	8.2238E-6	8.51616E-6	8.19554E-6	8.38134E-6	8.43021E-6	8.02779E-6
40	5.80512E-6	6.15204E-6	6.36435E-6	6.42145E-6	6.59897E-6	7.00954E-6	7.11122E-6	7.41224E-6	7.90305E-6	8.04723E-6	8.38282E-6	8.0196E-6	8.2286E-6	8.24003E-6	7.89625E-6
39.5	5.70444E-6	6.05237E-6	6.22009E-6	6.28056E-6	6.443E-6	6.87856E-6	6.95636E-6	7.28414E-6	7.74608E-6	7.87414E-6	8.21684E-6	7.83247E-6	8.11645E-6	8.06975E-6	7.8195E-6
39	5.55816E-6	5.89356E-6	6.07287E-6	6.13467E-6	6.30361E-6	6.71225E-6	6.81506E-6	7.09487E-6	7.54398E-6	7.67319E-6	8.04033E-6	7.6909E-6	7.95769E-6	7.94331E-6	7.7089E-6
38.5	5.40196E-6	5.76477E-6	5.91367E-6	6.00959E-6	6.17873E-6	6.57773E-6	6.65815E-6	6.93534E-6	7.39791E-6	7.52816E-6	7.85881E-6	7.57198E-6	7.78477E-6	7.79074E-6	7.49088E-6
38	5.28243E-6	5.5749E-6	5.7403E-6	5.843E-6	6.0371E-6	6.43505E-6	6.57341E-6	6.77333E-6	7.21376E-6	7.34324E-6	7.69925E-6	7.44276E-6	7.60782E-6	7.66488E-6	7.40749E-6
37.5	5.14117E-6	5.45288E-6	5.66467E-6	5.70508E-6	5.87729E-6	6.30078E-6	6.36172E-6	6.63645E-6	7.09984E-6	7.20101E-6	7.52843E-6	7.28775E-6	7.45621E-6	7.48789E-6	7.24205E-6
37	5.03399E-6	5.29737E-6	5.50483E-6	5.58813E-6	5.75496E-6	6.14762E-6	6.22812E-6	6.46657E-6	6.86884E-6	7.0406E-6	7.37129E-6	7.18462E-6	7.3499E-6	7.36591E-6	7.10225E-6
36.5	4.8882E-6	5.20034E-6	5.41584E-6	5.46849E-6	5.62301E-6	5.96521E-6	6.05823E-6	6.30802E-6	6.77696E-6	6.89366E-6	7.19855E-6	7.02194E-6	7.22813E-6	7.23479E-6	6.96957E-6
36	4.7621E-6	5.0853E-6	5.29733E-6	5.33352E-6	5.45623E-6	5.86205E-6	5.93013E-6	6.13098E-6	6.58674E-6	6.76002E-6	7.04983E-6	6.82031E-6	7.08456E-6	7.08123E-6	6.87213E-6
35.5	4.67738E-6	4.94651E-6	5.14664E-6	5.16849E-6	5.32661E-6	5.76795E-6	5.81676E-6	6.02039E-6	6.47562E-6	6.60852E-6	6.88746E-6	6.71468E-6	6.90276E-6	6.92197E-6	6.79273E-6
35	4.51745E-6	4.85491E-6	5.02712E-6	5.08443E-6	5.15424E-6	5.58053E-6	5.69615E-6	5.86799E-6	6.31853E-6	6.4609E-6	6.7621E-6	6.53409E-6	6.79541E-6	6.76572E-6	6.59486E-6
34.5	4.4021E-6	4.68532E-6	4.89387E-6	4.91639E-6	5.02051E-6	5.512E-6	5.53377E-6	5.73897E-6	6.2018E-6	6.30746E-6	6.65323E-6	6.38117E-6	6.60874E-6	6.63358E-6	6.48379E-6
34	4.28873E-6	4.5631E-6	4.73894E-6	4.78889E-6	4.93317E-6	5.36877E-6	5.3909E-6	5.62791E-6	6.04834E-6	6.21249E-6	6.45903E-6	6.24239E-6	6.46903E-6	6.54245E-6	6.41078E-6
